date,location,sales,lat,lon
2024-01-15,New York,1250.50,40.7128,-74.0060
2024-01-16,New York,980.25,40.7128,-74.0060
2024-01-17,New York,1450.75,40.7128,-74.0060
2024-01-15,San Francisco,1890.00,37.7749,-122.4194
2024-01-16,San Francisco,2100.50,37.7749,-122.4194
2024-01-17,San Francisco,1750.25,37.7749,-122.4194
2024-01-15,Chicago,890.75,41.8781,-87.6298
2024-01-16,Chicago,1120.00,41.8781,-87.6298
2024-01-17,Chicago,950.50,41.8781,-87.6298
2024-01-15,Austin,750.25,30.2672,-97.7431
2024-01-16,Austin,820.75,30.2672,-97.7431
2024-01-17,Austin,680.50,30.2672,-97.7431
2024-01-15,Seattle,1100.00,47.6062,-122.3321
2024-01-16,Seattle,1350.25,47.6062,-122.3321
2024-01-17,Seattle,1200.75,47.6062,-122.3321
2024-01-15,Mumbai,1850.75,19.0760,72.8777
2024-01-16,Mumbai,2100.25,19.0760,72.8777
2024-01-17,Mumbai,1950.50,19.0760,72.8777
2024-01-15,Delhi,1650.00,28.7041,77.1025
2024-01-16,Delhi,1800.75,28.7041,77.1025
2024-01-17,Delhi,1720.25,28.7041,77.1025
2024-01-15,Bangalore,1450.50,12.9716,77.5946
2024-01-16,Bangalore,1580.25,12.9716,77.5946
2024-01-17,Bangalore,1520.75,12.9716,77.5946
2024-01-15,Chennai,1280.75,13.0827,80.2707
2024-01-16,Chennai,1420.50,13.0827,80.2707
2024-01-17,Chennai,1350.25,13.0827,80.2707
2024-01-15,Kolkata,1120.25,22.5726,88.3639
2024-01-16,Kolkata,1250.75,22.5726,88.3639
2024-01-17,Kolkata,1180.50,22.5726,88.3639
2024-02-10,New York,1380.25,40.7128,-74.0060
2024-02-11,New York,1120.50,40.7128,-74.0060
2024-02-12,New York,1650.00,40.7128,-74.0060
2024-02-10,San Francisco,2200.75,37.7749,-122.4194
2024-02-11,San Francisco,1950.25,37.7749,-122.4194
2024-02-12,San Francisco,2100.00,37.7749,-122.4194
2024-02-10,Chicago,1050.75,41.8781,-87.6298
2024-02-11,Chicago,1280.25,41.8781,-87.6298
2024-02-12,Chicago,980.50,41.8781,-87.6298
2024-02-10,Austin,850.00,30.2672,-97.7431
2024-02-11,Austin,920.75,30.2672,-97.7431
2024-02-12,Austin,780.25,30.2672,-97.7431
2024-02-10,Seattle,1250.50,47.6062,-122.3321
2024-02-11,Seattle,1480.75,47.6062,-122.3321
2024-02-12,Seattle,1320.25,47.6062,-122.3321
2024-02-10,Mumbai,2050.25,19.0760,72.8777
2024-02-11,Mumbai,2280.75,19.0760,72.8777
2024-02-12,Mumbai,2120.50,19.0760,72.8777
2024-02-10,Delhi,1820.50,28.7041,77.1025
2024-02-11,Delhi,1980.25,28.7041,77.1025
2024-02-12,Delhi,1890.75,28.7041,77.1025
2024-02-10,Bangalore,1620.75,12.9716,77.5946
2024-02-11,Bangalore,1750.50,12.9716,77.5946
2024-02-12,Bangalore,1680.25,12.9716,77.5946
2024-02-10,Chennai,1450.25,13.0827,80.2707
2024-02-11,Chennai,1580.75,13.0827,80.2707
2024-02-12,Chennai,1520.50,13.0827,80.2707
2024-02-10,Kolkata,1280.50,22.5726,88.3639
2024-02-11,Kolkata,1420.25,22.5726,88.3639
2024-02-12,Kolkata,1350.75,22.5726,88.3639
2024-03-05,New York,1520.75,40.7128,-74.0060
2024-03-06,New York,1280.25,40.7128,-74.0060
2024-03-07,New York,1780.50,40.7128,-74.0060
2024-03-05,San Francisco,2400.25,37.7749,-122.4194
2024-03-06,San Francisco,2150.75,37.7749,-122.4194
2024-03-07,San Francisco,2300.00,37.7749,-122.4194
2024-03-05,Chicago,1180.25,41.8781,-87.6298
2024-03-06,Chicago,1420.50,41.8781,-87.6298
2024-03-07,Chicago,1080.75,41.8781,-87.6298
2024-03-05,Austin,950.50,30.2672,-97.7431
2024-03-06,Austin,1020.25,30.2672,-97.7431
2024-03-07,Austin,880.75,30.2672,-97.7431
2024-03-05,Seattle,1380.75,47.6062,-122.3321
2024-03-06,Seattle,1620.25,47.6062,-122.3321
2024-03-07,Seattle,1450.50,47.6062,-122.3321
2024-03-05,Mumbai,2250.50,19.0760,72.8777
2024-03-06,Mumbai,2480.25,19.0760,72.8777
2024-03-07,Mumbai,2320.75,19.0760,72.8777
2024-03-05,Delhi,2020.75,28.7041,77.1025
2024-03-06,Delhi,2180.50,28.7041,77.1025
2024-03-07,Delhi,2090.25,28.7041,77.1025
2024-03-05,Bangalore,1820.25,12.9716,77.5946
2024-03-06,Bangalore,1950.75,12.9716,77.5946
2024-03-07,Bangalore,1880.50,12.9716,77.5946
2024-03-05,Chennai,1650.75,13.0827,80.2707
2024-03-06,Chennai,1780.50,13.0827,80.2707
2024-03-07,Chennai,1720.25,13.0827,80.2707
2024-03-05,Kolkata,1480.25,22.5726,88.3639
2024-03-06,Kolkata,1620.75,22.5726,88.3639
2024-03-07,Kolkata,1550.50,22.5726,88.3639
2024-04-12,New York,1680.25,40.7128,-74.0060
2024-04-13,New York,1420.75,40.7128,-74.0060
2024-04-14,New York,1920.00,40.7128,-74.0060
2024-04-12,San Francisco,2600.50,37.7749,-122.4194
2024-04-13,San Francisco,2350.25,37.7749,-122.4194
2024-04-14,San Francisco,2500.75,37.7749,-122.4194
2024-04-12,Chicago,1320.50,41.8781,-87.6298
2024-04-13,Chicago,1580.25,41.8781,-87.6298
2024-04-14,Chicago,1220.75,41.8781,-87.6298
2024-04-12,Austin,1080.25,30.2672,-97.7431
2024-04-13,Austin,1150.50,30.2672,-97.7431
2024-04-14,Austin,980.75,30.2672,-97.7431
2024-04-12,Seattle,1520.25,47.6062,-122.3321
2024-04-13,Seattle,1780.75,47.6062,-122.3321
2024-04-14,Seattle,1620.50,47.6062,-122.3321
2024-04-12,Mumbai,2450.25,19.0760,72.8777
2024-04-13,Mumbai,2680.75,19.0760,72.8777
2024-04-14,Mumbai,2520.50,19.0760,72.8777
2024-04-12,Delhi,2220.50,28.7041,77.1025
2024-04-13,Delhi,2380.25,28.7041,77.1025
2024-04-14,Delhi,2290.75,28.7041,77.1025
2024-04-12,Bangalore,2020.75,12.9716,77.5946
2024-04-13,Bangalore,2150.50,12.9716,77.5946
2024-04-14,Bangalore,2080.25,12.9716,77.5946
2024-04-12,Chennai,1850.25,13.0827,80.2707
2024-04-13,Chennai,1980.75,13.0827,80.2707
2024-04-14,Chennai,1920.50,13.0827,80.2707
2024-04-12,Kolkata,1680.50,22.5726,88.3639
2024-04-13,Kolkata,1820.25,22.5726,88.3639
2024-04-14,Kolkata,1750.75,22.5726,88.3639
2024-05-08,New York,1850.75,40.7128,-74.0060
2024-05-09,New York,1580.25,40.7128,-74.0060
2024-05-10,New York,2120.50,40.7128,-74.0060
2024-05-08,San Francisco,2800.25,37.7749,-122.4194
2024-05-09,San Francisco,2550.75,37.7749,-122.4194
2024-05-10,San Francisco,2700.00,37.7749,-122.4194
2024-05-08,Chicago,1480.25,41.8781,-87.6298
2024-05-09,Chicago,1720.50,41.8781,-87.6298
